# z = 0.7
#    qT            OS            SS
5.657000000000e+00  6.374410662054e+00  1.477516722178e+00
5.758000000000e+00  6.077348749371e+00  1.369093248170e+00
5.859000000000e+00  5.792944675830e+00  1.266803591996e+00
5.960000000000e+00  5.521077504180e+00  1.184868157967e+00
6.061000000000e+00  5.254772257159e+00  1.091329490255e+00
6.162000000000e+00  4.992768886555e+00  9.982995244477e-01
6.263000000000e+00  4.735986054934e+00  9.065500392258e-01
6.364000000000e+00  4.492158586045e+00  8.206042926445e-01
6.465000000000e+00  4.251718088986e+00  7.354573346552e-01
6.566000000000e+00  4.017468486935e+00  6.524421778006e-01
6.667000000000e+00  3.788872524277e+00  5.714386668614e-01
6.768000000000e+00  3.569491500559e+00  4.943577316739e-01
6.869000000000e+00  3.358418847675e+00  4.208384922394e-01
6.970000000000e+00  3.155648260739e+00  3.506090385280e-01
7.071000000000e+00  2.964540008977e+00  2.857664109336e-01
7.172000000000e+00  2.780800795732e+00  2.241067154707e-01
7.273000000000e+00  2.606642965954e+00  1.666446390501e-01
7.374000000000e+00  2.441216284986e+00  1.132599212000e-01
7.475000000000e+00  2.289053147510e+00  6.636471213554e-02
7.576000000000e+00  2.142287570114e+00  2.161237084018e-02
7.677000000000e+00  2.005790009985e+00  -1.832729539704e-02
7.778000000000e+00  1.875479120032e+00  -5.576002853663e-02
7.879000000000e+00  1.748097731858e+00  -9.261241518089e-02
7.980000000000e+00  1.626997236186e+00  -1.269896844422e-01
8.081000000000e+00  1.506740488781e+00  -1.621541211552e-01
8.182000000000e+00  1.389462491685e+00  -1.969269122025e-01
8.283000000000e+00  1.273514344881e+00  -2.321229501640e-01
8.384000000000e+00  1.162290371637e+00  -2.656893904807e-01
8.485000000000e+00  1.050967919158e+00  -3.225158318551e-01
8.586000000000e+00  9.431780429616e-01  -3.518105569670e-01
8.687000000000e+00  8.419930505233e-01  -3.776963330399e-01
8.788000000000e+00  7.459760147157e-01  -4.014216998526e-01
8.889000000000e+00  6.527855627176e-01  -4.233706407719e-01
8.990000000000e+00  5.656513601594e-01  -4.431356751837e-01
9.091000000000e+00  4.828235477099e-01  -4.608063004241e-01
9.192000000000e+00  4.051370768558e-01  -4.774564611393e-01
9.293000000000e+00  3.309908385345e-01  -5.062718806598e-01
9.394000000000e+00  2.044087077053e-01  -5.415396305049e-01
9.495000000000e+00  1.413755618284e-01  -5.553424269547e-01
9.596000000000e+00  8.236927048047e-02  -5.671962893871e-01
9.697000000000e+00  6.516189465494e-02  -5.793843430445e-01
9.798000000000e+00  7.798838635335e-03  -5.897163015000e-01
9.899000000000e+00  -4.727819840958e-02  -5.990295357064e-01
1.000000000000e+01  -9.981177074630e-02  -5.930163630434e-01
