# z = 0.7
#    qT            OS            SS
3.637000000000e+00  1.118325281696e+01  3.866234629106e+00
3.738000000000e+00  1.084433651062e+01  3.718442107915e+00
3.839000000000e+00  1.051489482385e+01  3.576298056084e+00
3.940000000000e+00  1.019650063503e+01  3.439985539093e+00
4.041000000000e+00  9.885664331017e+00  3.301642288432e+00
4.142000000000e+00  9.584206830397e+00  3.173815682778e+00
4.243000000000e+00  9.277512317284e+00  3.050051386241e+00
4.344000000000e+00  8.991008370795e+00  2.931290239036e+00
4.445000000000e+00  8.698598510342e+00  2.812834112557e+00
4.546000000000e+00  8.429397050688e+00  2.703276388772e+00
4.647000000000e+00  8.158997927436e+00  2.596838270800e+00
4.748000000000e+00  7.902409570133e+00  2.490123380553e+00
4.849000000000e+00  7.652425802954e+00  2.389776236311e+00
4.950000000000e+00  7.413722437870e+00  2.295423296691e+00
5.051000000000e+00  7.184623240649e+00  2.206229762680e+00
5.152000000000e+00  6.964356326332e+00  2.121612978273e+00
5.253000000000e+00  6.751299800748e+00  2.040573877025e+00
5.354000000000e+00  6.544006563854e+00  1.962199192844e+00
5.455000000000e+00  6.344307649954e+00  1.887492074554e+00
5.556000000000e+00  6.152908914112e+00  1.818067160657e+00
5.657000000000e+00  5.964541007616e+00  1.745707294002e+00
5.758000000000e+00  5.783290246666e+00  1.676496437733e+00
5.859000000000e+00  5.609270373470e+00  1.610607607261e+00
5.960000000000e+00  5.442055619379e+00  1.547949832378e+00
6.061000000000e+00  5.276739829607e+00  1.494602199704e+00
6.162000000000e+00  5.114528638581e+00  1.434706257141e+00
6.263000000000e+00  4.953785810751e+00  1.374979493683e+00
6.364000000000e+00  4.795547651223e+00  1.316179629987e+00
6.465000000000e+00  4.640113830973e+00  1.258422400510e+00
6.566000000000e+00  4.488632505220e+00  1.202223356463e+00
6.667000000000e+00  4.339326922640e+00  1.146796357123e+00
6.768000000000e+00  4.193274697667e+00  1.092696672765e+00
6.869000000000e+00  4.053013668557e+00  1.041230001905e+00
6.970000000000e+00  3.920311296707e+00  9.914710223882e-01
7.071000000000e+00  3.792638144971e+00  9.444781646717e-01
7.172000000000e+00  3.662228450157e+00  9.000452871644e-01
7.273000000000e+00  3.542340894298e+00  8.576848391354e-01
7.374000000000e+00  3.427973638753e+00  8.179626742048e-01
7.475000000000e+00  3.319672461860e+00  7.812106057692e-01
7.576000000000e+00  3.215611475187e+00  7.462970868932e-01
7.677000000000e+00  3.116057756987e+00  7.134929257419e-01
7.778000000000e+00  3.020247276077e+00  6.822789353677e-01
7.879000000000e+00  2.926120818766e+00  6.514875246281e-01
7.980000000000e+00  2.835574549314e+00  6.221483067572e-01
8.081000000000e+00  2.746315858391e+00  5.928407541048e-01
8.182000000000e+00  2.657630146715e+00  5.632653097048e-01
8.283000000000e+00  2.570758072186e+00  5.180650996824e-01
8.384000000000e+00  2.486023058843e+00  4.899010425605e-01
8.485000000000e+00  2.374609034539e+00  4.625883130612e-01
8.586000000000e+00  2.296125052156e+00  4.367311585731e-01
8.687000000000e+00  2.222317262270e+00  4.130897570002e-01
8.788000000000e+00  2.150166535341e+00  3.901132019543e-01
8.889000000000e+00  2.082338598917e+00  3.691318890976e-01
8.990000000000e+00  2.017944757301e+00  3.496589316704e-01
9.091000000000e+00  1.956022241741e+00  3.312675738867e-01
9.192000000000e+00  1.894660728360e+00  3.136076045519e-01
9.293000000000e+00  1.834279865277e+00  2.962061526536e-01
9.394000000000e+00  1.758241129018e+00  2.569701560124e-01
9.495000000000e+00  1.703550970905e+00  2.405391800707e-01
9.596000000000e+00  1.651015012686e+00  2.256875218995e-01
9.697000000000e+00  1.600338444974e+00  2.252457912351e-01
9.798000000000e+00  1.551171012322e+00  2.110272927111e-01
9.899000000000e+00  1.496450497241e+00  1.974342280109e-01
1.000000000000e+01  1.448996945917e+00  1.840524123622e-01
